date,type,N,year,month
2002-03-05,CRIM,560,2002,2002-03-01
2002-03-05,WARN,9,2002,2002-03-01
2002-03-06,CRIM,516,2002,2002-03-01
2002-03-06,CIVIL,2744,2002,2002-03-01
2002-03-06,ARREST,210,2002,2002-03-01
2002-03-06,WARN,3,2002,2002-03-01
2002-03-07,CRIM,552,2002,2002-03-01
2002-03-07,CIVIL,2668,2002,2002-03-01
2002-03-07,ARREST,214,2002,2002-03-01
2002-03-07,WARN,2,2002,2002-03-01
2002-03-08,CRIM,588,2002,2002-03-01
2002-03-08,ARREST,390,2002,2002-03-01
2002-03-08,CIVIL,2579,2002,2002-03-01
2002-03-09,CIVIL,2245,2002,2002-03-01
2002-03-09,ARREST,380,2002,2002-03-01
2002-03-09,CRIM,604,2002,2002-03-01
2002-03-09,WARN,1,2002,2002-03-01
2002-03-10,CIVIL,1785,2002,2002-03-01
2002-03-10,ARREST,259,2002,2002-03-01
2002-03-10,CRIM,449,2002,2002-03-01
2002-03-10,WARN,3,2002,2002-03-01
2002-03-11,ARREST,228,2002,2002-03-01
2002-03-11,CIVIL,2529,2002,2002-03-01
2002-03-11,CRIM,575,2002,2002-03-01
2002-03-11,WARN,4,2002,2002-03-01
2002-03-12,CIVIL,2283,2002,2002-03-01
2002-03-12,CRIM,500,2002,2002-03-01
2002-03-12,ARREST,269,2002,2002-03-01
2002-03-12,WARN,6,2002,2002-03-01
2002-03-13,CIVIL,1994,2002,2002-03-01
2002-03-13,CRIM,451,2002,2002-03-01
2002-03-13,ARREST,203,2002,2002-03-01
2002-03-13,WARN,1,2002,2002-03-01
2002-03-14,CRIM,602,2002,2002-03-01
2002-03-14,CIVIL,2698,2002,2002-03-01
2002-03-14,ARREST,359,2002,2002-03-01
2002-03-14,WARN,8,2002,2002-03-01
2002-03-15,CIVIL,2584,2002,2002-03-01
2002-03-15,ARREST,342,2002,2002-03-01
2002-03-15,CRIM,511,2002,2002-03-01
2002-03-15,WARN,2,2002,2002-03-01
2002-03-16,CRIM,487,2002,2002-03-01
2002-03-16,CIVIL,1830,2002,2002-03-01
2002-03-16,ARREST,336,2002,2002-03-01
2002-03-16,WARN,3,2002,2002-03-01
2002-03-17,CIVIL,1684,2002,2002-03-01
2002-03-17,ARREST,298,2002,2002-03-01
2002-03-17,CRIM,447,2002,2002-03-01
2002-03-17,WARN,3,2002,2002-03-01
2002-03-18,CIVIL,1467,2002,2002-03-01
2002-03-18,CRIM,376,2002,2002-03-01
2002-03-18,ARREST,211,2002,2002-03-01
2002-03-19,CRIM,461,2002,2002-03-01
2002-03-19,CIVIL,2116,2002,2002-03-01
2002-03-19,ARREST,213,2002,2002-03-01
2002-03-19,WARN,12,2002,2002-03-01
2002-03-20,CIVIL,1771,2002,2002-03-01
2002-03-20,CRIM,527,2002,2002-03-01
2002-03-20,ARREST,193,2002,2002-03-01
2002-03-20,WARN,1,2002,2002-03-01
2002-03-21,CIVIL,2394,2002,2002-03-01
2002-03-21,CRIM,458,2002,2002-03-01
2002-03-21,WARN,5,2002,2002-03-01
2002-03-21,ARREST,287,2002,2002-03-01
2002-03-22,CRIM,489,2002,2002-03-01
2002-03-22,CIVIL,2241,2002,2002-03-01
2002-03-22,ARREST,266,2002,2002-03-01
2002-03-23,CRIM,565,2002,2002-03-01
2002-03-23,ARREST,377,2002,2002-03-01
2002-03-23,CIVIL,2335,2002,2002-03-01
2002-03-24,CRIM,462,2002,2002-03-01
2002-03-24,CIVIL,1871,2002,2002-03-01
2002-03-24,ARREST,349,2002,2002-03-01
2002-03-24,WARN,2,2002,2002-03-01
2002-03-25,CIVIL,2402,2002,2002-03-01
2002-03-25,CRIM,540,2002,2002-03-01
2002-03-25,ARREST,230,2002,2002-03-01
2002-03-26,CIVIL,1477,2002,2002-03-01
2002-03-26,CRIM,322,2002,2002-03-01
2002-03-26,ARREST,182,2002,2002-03-01
2002-03-26,WARN,3,2002,2002-03-01
2002-03-27,CRIM,410,2002,2002-03-01
2002-03-27,ARREST,223,2002,2002-03-01
2002-03-27,CIVIL,2309,2002,2002-03-01
2002-03-27,WARN,5,2002,2002-03-01
2002-03-28,CIVIL,2926,2002,2002-03-01
2002-03-28,CRIM,483,2002,2002-03-01
2002-03-28,ARREST,234,2002,2002-03-01
2002-03-28,WARN,3,2002,2002-03-01
2002-03-29,CIVIL,2632,2002,2002-03-01
2002-03-29,ARREST,337,2002,2002-03-01
2002-03-29,CRIM,570,2002,2002-03-01
2002-03-29,WARN,4,2002,2002-03-01
2002-03-30,CRIM,573,2002,2002-03-01
2002-03-30,CIVIL,2171,2002,2002-03-01
2002-03-30,ARREST,385,2002,2002-03-01
2002-03-31,CRIM,416,2002,2002-03-01
2002-03-31,CIVIL,1056,2002,2002-03-01
2002-03-31,ARREST,305,2002,2002-03-01
2002-04-01,CRIM,460,2002,2002-04-01
2002-04-01,ARREST,168,2002,2002-04-01
2002-04-01,CIVIL,2110,2002,2002-04-01
2002-04-01,WARN,4,2002,2002-04-01
2002-04-02,CRIM,476,2002,2002-04-01
2002-04-02,CIVIL,2413,2002,2002-04-01
2002-04-02,ARREST,239,2002,2002-04-01
2002-04-02,WARN,2,2002,2002-04-01
2002-04-03,CRIM,468,2002,2002-04-01
2002-04-03,CIVIL,2228,2002,2002-04-01
2002-04-03,ARREST,232,2002,2002-04-01
2002-04-03,WARN,2,2002,2002-04-01
2002-04-04,CIVIL,2664,2002,2002-04-01
2002-04-04,ARREST,244,2002,2002-04-01
2002-04-04,CRIM,549,2002,2002-04-01
2002-04-04,WARN,6,2002,2002-04-01
2002-04-05,CRIM,565,2002,2002-04-01
2002-04-05,CIVIL,2560,2002,2002-04-01
2002-04-05,ARREST,309,2002,2002-04-01
2002-04-05,WARN,5,2002,2002-04-01
2002-04-06,CRIM,620,2002,2002-04-01
2002-04-06,CIVIL,2162,2002,2002-04-01
2002-04-06,ARREST,337,2002,2002-04-01
2002-04-06,WARN,2,2002,2002-04-01
2002-04-07,CIVIL,1891,2002,2002-04-01
2002-04-07,ARREST,333,2002,2002-04-01
2002-04-07,CRIM,509,2002,2002-04-01
2002-04-07,WARN,4,2002,2002-04-01
2002-04-08,CRIM,578,2002,2002-04-01
2002-04-08,CIVIL,2475,2002,2002-04-01
2002-04-08,ARREST,252,2002,2002-04-01
2002-04-08,WARN,2,2002,2002-04-01
2002-04-09,CIVIL,2494,2002,2002-04-01
2002-04-09,CRIM,520,2002,2002-04-01
2002-04-09,ARREST,257,2002,2002-04-01
2002-04-09,WARN,9,2002,2002-04-01
2002-04-10,CIVIL,2624,2002,2002-04-01
2002-04-10,ARREST,267,2002,2002-04-01
2002-04-10,CRIM,549,2002,2002-04-01
2002-04-10,WARN,7,2002,2002-04-01
2002-04-11,CRIM,520,2002,2002-04-01
2002-04-11,CIVIL,2486,2002,2002-04-01
2002-04-11,ARREST,261,2002,2002-04-01
2002-04-12,CIVIL,2769,2002,2002-04-01
2002-04-12,ARREST,293,2002,2002-04-01
2002-04-12,CRIM,540,2002,2002-04-01
2002-04-12,WARN,14,2002,2002-04-01
2002-04-13,ARREST,404,2002,2002-04-01
2002-04-13,CIVIL,1996,2002,2002-04-01
2002-04-13,WARN,5,2002,2002-04-01
2002-04-13,CRIM,559,2002,2002-04-01
2002-04-14,ARREST,330,2002,2002-04-01
2002-04-14,CIVIL,1867,2002,2002-04-01
2002-04-14,CRIM,540,2002,2002-04-01
2002-04-14,WARN,2,2002,2002-04-01
2002-04-15,CIVIL,1638,2002,2002-04-01
2002-04-15,CRIM,514,2002,2002-04-01
2002-04-15,ARREST,217,2002,2002-04-01
2002-04-15,WARN,3,2002,2002-04-01
2002-04-16,CIVIL,2373,2002,2002-04-01
2002-04-16,CRIM,477,2002,2002-04-01
2002-04-16,ARREST,203,2002,2002-04-01
2002-04-16,WARN,4,2002,2002-04-01
2002-04-17,CRIM,524,2002,2002-04-01
2002-04-17,CIVIL,2263,2002,2002-04-01
2002-04-17,ARREST,263,2002,2002-04-01
2002-04-17,WARN,4,2002,2002-04-01
2002-04-18,CIVIL,2247,2002,2002-04-01
2002-04-18,CRIM,553,2002,2002-04-01
2002-04-18,ARREST,252,2002,2002-04-01
2002-04-18,WARN,4,2002,2002-04-01
2002-04-19,CRIM,523,2002,2002-04-01
2002-04-19,ARREST,306,2002,2002-04-01
2002-04-19,CIVIL,2471,2002,2002-04-01
2002-04-19,WARN,5,2002,2002-04-01
2002-04-20,CIVIL,1875,2002,2002-04-01
2002-04-20,CRIM,547,2002,2002-04-01
2002-04-20,ARREST,409,2002,2002-04-01
2002-04-20,WARN,7,2002,2002-04-01
2002-04-21,ARREST,304,2002,2002-04-01
2002-04-21,CRIM,427,2002,2002-04-01
2002-04-21,CIVIL,1702,2002,2002-04-01
2002-04-21,WARN,3,2002,2002-04-01
2002-04-22,CIVIL,1689,2002,2002-04-01
2002-04-22,CRIM,413,2002,2002-04-01
2002-04-22,ARREST,180,2002,2002-04-01
2002-04-22,WARN,4,2002,2002-04-01
2002-04-23,CIVIL,2238,2002,2002-04-01
2002-04-23,CRIM,463,2002,2002-04-01
2002-04-23,ARREST,192,2002,2002-04-01
2002-04-23,WARN,1,2002,2002-04-01
2002-04-24,CIVIL,2761,2002,2002-04-01
2002-04-24,CRIM,468,2002,2002-04-01
2002-04-24,ARREST,267,2002,2002-04-01
2002-04-24,WARN,8,2002,2002-04-01
2002-04-25,CIVIL,2464,2002,2002-04-01
2002-04-25,ARREST,221,2002,2002-04-01
2002-04-25,CRIM,536,2002,2002-04-01
2002-04-25,WARN,5,2002,2002-04-01
2002-04-26,CRIM,557,2002,2002-04-01
2002-04-26,CIVIL,2355,2002,2002-04-01
2002-04-26,ARREST,284,2002,2002-04-01
2002-04-26,WARN,5,2002,2002-04-01
2002-04-27,CIVIL,2145,2002,2002-04-01
2002-04-27,CRIM,567,2002,2002-04-01
2002-04-27,ARREST,425,2002,2002-04-01
2002-04-27,WARN,2,2002,2002-04-01
2002-04-28,CIVIL,1051,2002,2002-04-01
2002-04-28,CRIM,410,2002,2002-04-01
2002-04-28,ARREST,280,2002,2002-04-01
2002-04-28,WARN,3,2002,2002-04-01
2002-04-29,CIVIL,1784,2002,2002-04-01
2002-04-29,ARREST,183,2002,2002-04-01
2002-04-29,CRIM,376,2002,2002-04-01
2002-04-29,WARN,3,2002,2002-04-01
2002-04-30,CIVIL,2074,2002,2002-04-01
2002-04-30,CRIM,478,2002,2002-04-01
2002-04-30,ARREST,205,2002,2002-04-01
2002-04-30,WARN,7,2002,2002-04-01
2002-05-01,CIVIL,2469,2002,2002-05-01
2002-05-01,CRIM,547,2002,2002-05-01
2002-05-01,ARREST,226,2002,2002-05-01
2002-05-01,WARN,6,2002,2002-05-01
2002-05-02,CIVIL,1825,2002,2002-05-01
2002-05-02,CRIM,470,2002,2002-05-01
2002-05-02,ARREST,263,2002,2002-05-01
2002-05-02,WARN,2,2002,2002-05-01
2002-05-03,ARREST,278,2002,2002-05-01
2002-05-03,CIVIL,2465,2002,2002-05-01
2002-05-03,CRIM,596,2002,2002-05-01
